" 5 U.S.C. 5901–5902","usc/5/5901..5902"
"15 U.S.C. 278c–278e","usc/15/278c..278e"
"5 U.S.C. 5901–5902","usc/5/5901..5902"
"sections 3729–3733 of title 31, United States Code","usc/31/3729..3733"
"subparagraphs (A) through (H) of paragraph (4)","usc/23/105/d/4/A..H"
"subsections (d) through (h)","usc/40/3307/d..h"
"subsections (e) through (i)","usc/40/3307/e..i"
"subsections (c) through (g)","usc/40/3312/c..g"
"subsections (d) through (h)","usc/40/3312/d..h"
"49 U.S.C. 41731 through 41742","usc/49/41731..41742"
"5128(b)–(c)","usc/49/5128/b..c"
"5 U.S.C. 5901–5902","usc/5/5901..5902"
"5 U.S.C. 5901–5902","usc/5/5901..5902"
"5 U.S.C. 5901–5902","usc/5/5901..5902"
"42 U.S.C. 8101–8107","usc/42/8101..8107"
"41 U.S.C. 10a–10c","usc/41/10a..10c"
" 41 U.S.C. 10a–10c","usc/41/10a..10c"
"sections 41301 through 41305 of title 49, United States Code","usc/49/41301..41305"
"subsections (b) through (d)","usc/38/1703/b..d"
"subsections (c) through (e)","usc/38/1703/c..e"
"sections 6101(b) through (d) of title 41","usc/41/6101/b..d"
"Sections 31102 through 31104","usc/49/31102..31104"
"30141 through 30147","usc/49/30141..30147"
"16 U.S.C. 460l-11(b)","usc/16/460l-11/b"
"sections 512 through 519 of title 23, United States Code","usc/23/512..519"
"45 U.S.C. 151–188","usc/45/151..188"
"sections 21101–21106","usc/49/21101..21106"
"3309 through 3318 of title 5, United States Code","usc/5/3309..3318"
"paragraphs (1) through (6)","usc/39/3210/d/1..6"
"558a–558d","usc/16/558a..558d"
"paragraphs (1) through (3)","usc/37/439/b/1..3"
"6 U.S.C. 341 through 345","usc/6/341..345"
"4104d(b)(1)–(3)","usc/42/4104d/b/1..3"
"42 U.S.C. 17192–95","usc/42/17192..95"
"paragraphs (1)(F)","usc/42/1395w-27/g/1/F"
"(1)(K)","usc/42/1395w-27/g/1/K"
"paragraph (1)(K) of such section","usc/42/1395w-27/g/1/K"
"subsections (b) through (f) of section 553 of this title","usc/5/553/b..f"
"clauses (i) through (iii) of section 804(2)(A)","usc/5/804//2/A/i..iii"
"7 U.S.C. 1010–1012","usc/7/1010..1012"
" 7 U.S.C. 1010–1012","usc/7/1010..1012"
"3309 through 3318 of title 5, United States Code","usc/5/3309..3318"
"22 U.S.C. 6911–6919","usc/22/6911..6919"
"sections 5921 through 5925 of title 5, United States Code","usc/5/5921..5925"
" 22 U.S.C. 2501–2523","usc/22/2501..2523"
"22 U.S.C. 4501–4508","usc/22/4501..4508"
"112–114","usc/3/112..114"
"28 U.S.C. 561–569","usc/28/561..569"
"5 U.S.C. 4101–4118","usc/5/4101..4118"
"5 U.S.C. 5922 through 5924","usc/5/5922..5924"
"112–114","usc/3/112..114"
"28 U.S.C. 561–569","usc/28/561..569"
"5 U.S.C. 4101–4118","usc/5/4101..4118"
"5 U.S.C. 5922 through 5924","usc/5/5922..5924"
"paragraphs (1) through (5)","usc/49/5128/b/1..5"
"subparagraphs (A) through (E)","usc/49/5128/b/1/A..E"
"paragraphs (1) through (5)","usc/49/5128/b/1..5"
"subparagraphs (A) through (E)","usc/49/5128/b/1/A..E"
"section 2108(3)(C)–(G) of this title","usc/5/2108//3/C..G"
"clauses (i) through (iii) of section 814(2)(A)","usc/5/814//2/A/i..iii"
"25 U.S.C. 640d–2 and 640d–3","usc/25/640d–2..640d-3"
"subsection (d)","usc/25/640d-30/d"
"paragraph (2)","usc/25/640d-30/d/2"
"paragraph (3)","usc/25/640d-30/d/3"
"subsection (f)","usc/25/640d-30/f"
"subsection (g)","usc/25/640d-30/g"
"subsections (b) through (i) of section 3161 of title 5, United States Code","usc/5/3161/b..i"
"sections 1581 through 1594 of such title","usc/18/1581..1594"
"sections 2312 through 2315 of such title","usc/18/2312..2315"
"16 U.S.C. 410r-8","usc/16/410r-8"
